NOC,Year,Total_Gold,Total_Silver,Total_Bronze
ISR,1992,1200.0,1249.0,1126.0
ISR,1996,1200.0,1249.0,1126.0
ISR,2000,1200.0,1249.0,1126.0
ISR,2004,1200.0,1249.0,1126.0
ISR,2008,1200.0,1249.0,1126.0
ISR,2016,1200.0,1249.0,1126.0
ISV,1988,1275.0,1249.0,1275.0
ITA,1900,113.0,142.0,169.0
ITA,1906,113.0,142.0,169.0
ITA,1908,113.0,142.0,169.0
ITA,1912,113.0,142.0,169.0
ITA,1920,113.0,142.0,169.0
ITA,1924,113.0,142.0,169.0
ITA,1928,113.0,142.0,169.0
ITA,1932,113.0,142.0,169.0
ITA,1936,113.0,142.0,169.0
ITA,1948,113.0,142.0,169.0
ITA,1952,113.0,142.0,169.0
ITA,1956,113.0,142.0,169.0
ITA,1960,113.0,142.0,169.0
ITA,1964,113.0,142.0,169.0
ITA,1968,113.0,142.0,169.0
ITA,1972,113.0,142.0,169.0
ITA,1976,113.0,142.0,169.0
ITA,1980,113.0,142.0,169.0
ITA,1984,113.0,142.0,169.0
ITA,1988,113.0,142.0,169.0
ITA,1992,113.0,142.0,169.0
ITA,1996,113.0,142.0,169.0
ITA,2000,113.0,142.0,169.0
ITA,2004,113.0,142.0,169.0
ITA,2008,113.0,142.0,169.0
ITA,2012,113.0,142.0,169.0
ITA,2016,113.0,142.0,169.0
JAM,1948,748.0,694.0,784.0
JAM,1952,748.0,694.0,784.0
JAM,1968,748.0,694.0,784.0
JAM,1972,748.0,694.0,784.0
JAM,1976,748.0,694.0,784.0
JAM,1980,748.0,694.0,784.0
JAM,1984,748.0,694.0,784.0
JAM,1988,748.0,694.0,784.0
JAM,1992,748.0,694.0,784.0
JAM,1996,748.0,694.0,784.0
JAM,2000,748.0,694.0,784.0
JAM,2004,748.0,694.0,784.0
JAM,2008,748.0,694.0,784.0
JAM,2012,748.0,694.0,784.0
JAM,2016,748.0,694.0,784.0
JOR,2016,1200.0,1275.0,1275.0
JPN,1920,292.0,279.0,297.0
JPN,1924,292.0,279.0,297.0
JPN,1928,292.0,279.0,297.0
JPN,1932,292.0,279.0,297.0
JPN,1936,292.0,279.0,297.0
JPN,1952,292.0,279.0,297.0
JPN,1956,292.0,279.0,297.0
